comment_id,toxicity,status,n_tokens,truncated
59856,0.9672256708145142,ok,12,0
239579,0.9648893475532532,ok,30,0
239592,0.1052226573228836,ok,107,0
239593,0.0005653785774484277,ok,35,0
239607,0.869793713092804,ok,50,0
239612,0.9954870343208313,ok,16,0
239616,0.004093831870704889,ok,4,0
239632,0.0021955559495836496,ok,80,0
239644,0.0028002236504107714,ok,27,0
239653,0.0007461775676347315,ok,13,0
239669,0.002881849417462945,ok,156,0
239676,0.0010491282446309924,ok,169,0
239727,0.000921795901376754,ok,53,0
239744,0.0007699801935814321,ok,12,0
239752,0.0006517565925605595,ok,144,0
239756,0.003378882072865963,ok,66,0
239778,0.017504898831248283,ok,49,0
239787,0.0007922148797661066,ok,25,0
239793,0.010042337700724602,ok,16,0
239808,0.0018843236612156034,ok,114,0
239821,0.0006935036508366466,ok,24,0
239845,0.0005585270700976253,ok,23,0
239852,0.00800445955246687,ok,58,0
239853,0.0036180790048092604,ok,204,0
239868,0.0006924852496013045,ok,33,0
239893,0.00275129871442914,ok,76,0
239904,0.47537124156951904,ok,70,0
239907,0.005603440571576357,ok,132,0
239917,0.0007859194302000105,ok,66,0
239921,0.04534180462360382,ok,214,0
239959,0.0016285581514239311,ok,27,0
239968,0.0006135370931588113,ok,56,0
239980,0.0008417772478424013,ok,20,0
240022,0.0006686962442472577,ok,22,0
240028,0.0028477299492806196,ok,28,0
240035,0.0006438319105654955,ok,107,0
240038,0.0009153146529570222,ok,82,0
240042,0.013813072815537453,ok,41,0
240043,0.001054176245816052,ok,72,0
240045,0.0006313144695013762,ok,78,0
240059,0.11228195577859879,ok,110,0
240290,0.0015957572031766176,ok,18,0
240296,0.0010725923348218203,ok,47,0
240303,0.000652661023195833,ok,5,0
240312,0.12791302800178528,ok,22,0
240318,0.003070767968893051,ok,26,0
240322,0.0009254554170183837,ok,47,0
240335,0.0015606870874762535,ok,9,0
240338,0.11328908056020737,ok,37,0
240343,0.006439285818487406,ok,8,0
240389,0.000666530744638294,ok,15,0
240392,0.0005513977957889438,ok,34,0
240400,0.31728634238243103,ok,22,0
240401,0.0005421589012257755,ok,63,0
240405,0.011317002587020397,ok,25,0
240416,0.0006491863168776035,ok,18,0
240419,0.019694257527589798,ok,8,0
240423,0.014431586489081383,ok,6,0
240454,0.0015657226322218776,ok,43,0
240493,0.0009620296768844128,ok,27,0
240499,0.0010449014371261,ok,35,0
240511,0.06466542184352875,ok,28,0
240513,0.23877938091754913,ok,31,0
240517,0.0006950909737497568,ok,102,0
240528,0.000558271596673876,ok,47,0
240561,0.000865046982653439,ok,99,0
240574,0.00900320801883936,ok,96,0
240581,0.0009331426699645817,ok,108,0
240588,0.0007437085150741041,ok,5,0
240598,0.041888877749443054,ok,199,0
240613,0.0012347244191914797,ok,61,0
240616,0.004444183316081762,ok,82,0
240627,0.002053723903372884,ok,215,0
240654,0.0005643368349410594,ok,136,0
240673,0.0011523909633979201,ok,91,0
240674,0.0006313929916359484,ok,125,0
240700,0.0006997428135946393,ok,44,0
240716,0.09601340442895889,ok,18,0
240717,0.0008801926742307842,ok,21,0
240727,0.02753394842147827,ok,96,0
240730,0.0007789521478116512,ok,82,0
240733,0.07850513607263565,ok,215,0
240770,0.003393166232854128,ok,67,0
240799,0.0005970454076305032,ok,145,0
240807,0.007325357757508755,ok,4,0
240813,0.5669443011283875,ok,29,0
240817,0.0006974359857849777,ok,52,0
240818,0.0006170868291519582,ok,158,0
240832,0.04410398751497269,ok,62,0
240845,0.010208476334810257,ok,160,0
240848,0.004766526166349649,ok,37,0
240855,0.005559349432587624,ok,81,0
240867,0.0006252027815207839,ok,162,0
240878,0.20680639147758484,ok,49,0
240879,0.9171357750892639,ok,83,0
240880,0.00409711292013526,ok,17,0
240893,0.0006137362215667963,ok,96,0
240898,0.0014011733001098037,ok,28,0
240900,0.006936607416719198,ok,23,0
240922,0.03415963053703308,ok,26,0
240926,0.0007961470982991159,ok,14,0
240940,0.0008233754779212177,ok,4,0
